# units=g
time,ax,ay,az
0.00,0.000,0.000,0.000
0.01,0.018,0.003,-0.012
0.02,0.041,0.006,-0.026
0.03,0.063,0.008,-0.040
0.04,0.081,0.010,-0.051
0.05,0.094,0.009,-0.057
0.06,0.099,0.007,-0.058
0.07,0.094,0.004,-0.052
0.08,0.079,0.001,-0.040
0.09,0.054,-0.002,-0.023
0.10,0.024,-0.004,-0.004
0.11,-0.009,-0.005,0.016
0.12,-0.041,-0.004,0.034
0.13,-0.068,-0.002,0.048
0.14,-0.086,0.001,0.055
0.15,-0.093,0.004,0.055
0.16,-0.088,0.006,0.047
0.17,-0.072,0.007,0.033
0.18,-0.048,0.006,0.016
0.19,-0.022,0.003,0.003
0.20,0.000,0.000,0.000
